card1,card2,synergy
Iron Sword,Steel Sword,3
Iron Sword,Silver Rapier,3
Iron Sword,Flame Saber,-1
Iron Sword,Frost Blade,-1
Iron Sword,Thunder Katana,-1
Iron Sword,Shadow Dirk,4
Iron Sword,Sun Scimitar,2
Iron Sword,Crystal Longsword,-1
Iron Sword,Obsidian Greatsword,-1
Iron Sword,Bronze Axe,-1
Iron Sword,War Axe,-1
Iron Sword,Twin Hatchets,4
Iron Sword,Executioner Axe,-1
Iron Sword,Viking Cleaver,-1
Iron Sword,Bone Splitter,-1
Iron Sword,Meteor Axe,-1
Iron Sword,Glacier Axe,-1
Iron Sword,Storm Axe,-1
Iron Sword,Emerald Tomahawk,-1
Iron Sword,Oak Bow,-1
Iron Sword,Longbow,-1
Iron Sword,Crossbow,-1
Iron Sword,Repeater Crossbow,-1
Iron Sword,Flame Bow,-1
Iron Sword,Frost Bow,-1
Iron Sword,Thunder Bow,-1
Iron Sword,Shadow Bow,4
Iron Sword,Hawk Bow,-1
Iron Sword,Moonlight Bow,-1
Iron Sword,Wooden Staff,-1
Iron Sword,Wizard Staff,-1
Iron Sword,Healing Staff,2
Iron Sword,Necro Staff,-1
Iron Sword,Storm Staff,-1
Iron Sword,Flame Staff,-1
Iron Sword,Frost Staff,-1
Iron Sword,Crystal Staff,-1
Iron Sword,Druid Staff,-1
Iron Sword,Solar Staff,2
Iron Sword,Iron Spear,-1
Iron Sword,Steel Spear,-1
Iron Sword,Pike,-1
Iron Sword,Halberd,-1
Iron Sword,Trident,-1
Iron Sword,Dragon Lance,-1
Iron Sword,Ice Lance,-1
Iron Sword,Thunder Spear,-1
Iron Sword,Serpent Spear,-1
Iron Sword,Sun Lance,2
Iron Sword,Dagger,4
Iron Sword,Poison Dagger,-1
Iron Sword,Silent Knife,4
Iron Sword,Throwing Knives,-1
Iron Sword,Glass Dagger,4
Iron Sword,Vampire Fang,-1
Iron Sword,Venom Shiv,-1
Iron Sword,Assassin Blade,4
Iron Sword,Smoke Dagger,4
Iron Sword,Mirror Knife,-1
Iron Sword,Wooden Shield,-1
Iron Sword,Iron Shield,-1
Iron Sword,Tower Shield,-1
Iron Sword,Spiked Shield,-1
Iron Sword,Mirror Shield,-1
Iron Sword,Dragon Shield,-1
Iron Sword,Ice Shield,-1
Iron Sword,Storm Shield,-1
Iron Sword,Holy Shield,2
Iron Sword,Thorn Shield,-1
Iron Sword,Stone Hammer,-1
Iron Sword,War Hammer,-1
Iron Sword,Thunder Hammer,-1
Iron Sword,Forge Hammer,-1
Iron Sword,Ice Maul,-1
Iron Sword,Gravity Hammer,-1
Iron Sword,Bone Hammer,-1
Iron Sword,Titan Hammer,-1
Iron Sword,Copper Mace,-1
Iron Sword,Morning Star,2
Iron Sword,Slingshot,-1
Iron Sword,Boomerang,-1
Iron Sword,Harpoon,-1
Iron Sword,Net Launcher,-1
Iron Sword,Flare Gun,-1
Iron Sword,Blowgun,-1
Iron Sword,Hookshot,-1
Iron Sword,Chakram,-1
Iron Sword,Crystal Orb,-1
Iron Sword,Spell Book,-1
Iron Sword,Laser Pistol,-1
Iron Sword,Plasma Rifle,-1
Iron Sword,Rocket Launcher,-1
Iron Sword,Energy Cannon,-1
Iron Sword,Railgun,-1
Iron Sword,Cyber Blade,-1
Iron Sword,Pulse Shield,-1
Iron Sword,Drone Swarm,-1
Iron Sword,Nano Spear,-1
Iron Sword,Void Cannon,-1
Steel Sword,Silver Rapier,3
Steel Sword,Flame Saber,-4
Steel Sword,Frost Blade,-4
Steel Sword,Thunder Katana,-4
Steel Sword,Shadow Dirk,4
Steel Sword,Sun Scimitar,2
Steel Sword,Crystal Longsword,-4
Steel Sword,Obsidian Greatsword,-4
Steel Sword,Bronze Axe,-4
Steel Sword,War Axe,-4
Steel Sword,Twin Hatchets,4
Steel Sword,Executioner Axe,-4
Steel Sword,Viking Cleaver,-4
Steel Sword,Bone Splitter,-4
Steel Sword,Meteor Axe,-4
Steel Sword,Glacier Axe,-4
Steel Sword,Storm Axe,-4
Steel Sword,Emerald Tomahawk,-4
Steel Sword,Oak Bow,-4
Steel Sword,Longbow,-4
Steel Sword,Crossbow,-4
Steel Sword,Repeater Crossbow,-4
Steel Sword,Flame Bow,-4
Steel Sword,Frost Bow,-4
Steel Sword,Thunder Bow,-4
Steel Sword,Shadow Bow,4
Steel Sword,Hawk Bow,-4
Steel Sword,Moonlight Bow,-4
Steel Sword,Wooden Staff,-4
Steel Sword,Wizard Staff,-4
Steel Sword,Healing Staff,2
Steel Sword,Necro Staff,-4
Steel Sword,Storm Staff,-4
Steel Sword,Flame Staff,-4
Steel Sword,Frost Staff,-4
Steel Sword,Crystal Staff,-4
Steel Sword,Druid Staff,-4
Steel Sword,Solar Staff,2
Steel Sword,Iron Spear,-4
Steel Sword,Steel Spear,-4
Steel Sword,Pike,-4
Steel Sword,Halberd,-4
Steel Sword,Trident,-4
Steel Sword,Dragon Lance,-4
Steel Sword,Ice Lance,-4
Steel Sword,Thunder Spear,-4
Steel Sword,Serpent Spear,-4
Steel Sword,Sun Lance,2
Steel Sword,Dagger,4
Steel Sword,Poison Dagger,-4
Steel Sword,Silent Knife,4
Steel Sword,Throwing Knives,-4
Steel Sword,Glass Dagger,4
Steel Sword,Vampire Fang,-4
Steel Sword,Venom Shiv,-4
Steel Sword,Assassin Blade,4
Steel Sword,Smoke Dagger,4
Steel Sword,Mirror Knife,-4
Steel Sword,Wooden Shield,-4
Steel Sword,Iron Shield,-4
Steel Sword,Tower Shield,-4
Steel Sword,Spiked Shield,-4
Steel Sword,Mirror Shield,-4
Steel Sword,Dragon Shield,-4
Steel Sword,Ice Shield,-4
Steel Sword,Storm Shield,-4
Steel Sword,Holy Shield,2
Steel Sword,Thorn Shield,-4
Steel Sword,Stone Hammer,-4
Steel Sword,War Hammer,-4
Steel Sword,Thunder Hammer,-4
Steel Sword,Forge Hammer,-4
Steel Sword,Ice Maul,-4
Steel Sword,Gravity Hammer,-4
Steel Sword,Bone Hammer,-4
Steel Sword,Titan Hammer,-4
Steel Sword,Copper Mace,-4
Steel Sword,Morning Star,2
Steel Sword,Slingshot,-4
Steel Sword,Boomerang,-4
Steel Sword,Harpoon,-4
Steel Sword,Net Launcher,-4
Steel Sword,Flare Gun,-4
Steel Sword,Blowgun,-4
Steel Sword,Hookshot,-4
Steel Sword,Chakram,-4
Steel Sword,Crystal Orb,-4
Steel Sword,Spell Book,-4
Steel Sword,Laser Pistol,-4
Steel Sword,Plasma Rifle,-4
Steel Sword,Rocket Launcher,-4
Steel Sword,Energy Cannon,-4
Steel Sword,Railgun,-4
Steel Sword,Cyber Blade,-4
Steel Sword,Pulse Shield,-4
Steel Sword,Drone Swarm,-4
Steel Sword,Nano Spear,-4
Steel Sword,Void Cannon,-4
Silver Rapier,Flame Saber,-2
Silver Rapier,Frost Blade,-2
Silver Rapier,Thunder Katana,-2
Silver Rapier,Shadow Dirk,4
Silver Rapier,Sun Scimitar,2
Silver Rapier,Crystal Longsword,-2
Silver Rapier,Obsidian Greatsword,-2
Silver Rapier,Bronze Axe,-2
Silver Rapier,War Axe,-2
Silver Rapier,Twin Hatchets,4
Silver Rapier,Executioner Axe,-2
Silver Rapier,Viking Cleaver,-2
Silver Rapier,Bone Splitter,-2
Silver Rapier,Meteor Axe,-2
Silver Rapier,Glacier Axe,-2
Silver Rapier,Storm Axe,-2
Silver Rapier,Emerald Tomahawk,-2
Silver Rapier,Oak Bow,-2
Silver Rapier,Longbow,-2
Silver Rapier,Crossbow,-2
Silver Rapier,Repeater Crossbow,-2
Silver Rapier,Flame Bow,-2
Silver Rapier,Frost Bow,-2
Silver Rapier,Thunder Bow,-2
Silver Rapier,Shadow Bow,4
Silver Rapier,Hawk Bow,-2
Silver Rapier,Moonlight Bow,-2
Silver Rapier,Wooden Staff,-2
Silver Rapier,Wizard Staff,-2
Silver Rapier,Healing Staff,2
Silver Rapier,Necro Staff,-2
Silver Rapier,Storm Staff,-2
Silver Rapier,Flame Staff,-2
Silver Rapier,Frost Staff,-2
Silver Rapier,Crystal Staff,-2
Silver Rapier,Druid Staff,-2
Silver Rapier,Solar Staff,2
Silver Rapier,Iron Spear,-2
Silver Rapier,Steel Spear,-2
Silver Rapier,Pike,-2
Silver Rapier,Halberd,-2
Silver Rapier,Trident,-2
Silver Rapier,Dragon Lance,-2
Silver Rapier,Ice Lance,-2
Silver Rapier,Thunder Spear,-2
Silver Rapier,Serpent Spear,-2
Silver Rapier,Sun Lance,2
Silver Rapier,Dagger,4
Silver Rapier,Poison Dagger,-2
Silver Rapier,Silent Knife,4
Silver Rapier,Throwing Knives,-2
Silver Rapier,Glass Dagger,4
Silver Rapier,Vampire Fang,-2
Silver Rapier,Venom Shiv,-2
Silver Rapier,Assassin Blade,4
Silver Rapier,Smoke Dagger,4
Silver Rapier,Mirror Knife,-2
Silver Rapier,Wooden Shield,-2
Silver Rapier,Iron Shield,-2
Silver Rapier,Tower Shield,-2
Silver Rapier,Spiked Shield,-2
Silver Rapier,Mirror Shield,-2
Silver Rapier,Dragon Shield,-2
Silver Rapier,Ice Shield,-2
Silver Rapier,Storm Shield,-2
Silver Rapier,Holy Shield,2
Silver Rapier,Thorn Shield,-2
Silver Rapier,Stone Hammer,-2
Silver Rapier,War Hammer,-2
Silver Rapier,Thunder Hammer,-2
Silver Rapier,Forge Hammer,-2
Silver Rapier,Ice Maul,-2
Silver Rapier,Gravity Hammer,-2
Silver Rapier,Bone Hammer,-2
Silver Rapier,Titan Hammer,-2
Silver Rapier,Copper Mace,-2
Silver Rapier,Morning Star,2
Silver Rapier,Slingshot,-2
Silver Rapier,Boomerang,-2
Silver Rapier,Harpoon,-2
Silver Rapier,Net Launcher,-2
Silver Rapier,Flare Gun,-2
Silver Rapier,Blowgun,-2
Silver Rapier,Hookshot,-2
Silver Rapier,Chakram,-2
Silver Rapier,Crystal Orb,-2
Silver Rapier,Spell Book,-2
Silver Rapier,Laser Pistol,-2
Silver Rapier,Plasma Rifle,-2
Silver Rapier,Rocket Launcher,-2
Silver Rapier,Energy Cannon,-2
Silver Rapier,Railgun,-2
Silver Rapier,Cyber Blade,-2
Silver Rapier,Pulse Shield,-2
Silver Rapier,Drone Swarm,-2
Silver Rapier,Nano Spear,-2
Silver Rapier,Void Cannon,-2
Flame Saber,Frost Blade,-5
Flame Saber,Thunder Katana,2
Flame Saber,Shadow Dirk,-5
Flame Saber,Sun Scimitar,-5
Flame Saber,Crystal Longsword,-5
Flame Saber,Obsidian Greatsword,2
Flame Saber,Bronze Axe,2
Flame Saber,War Axe,2
Flame Saber,Twin Hatchets,-5
Flame Saber,Executioner Axe,2
